0.508534,	0.0113104,	-0.0144216,	-0.999629,	0.0112934,	-0.0206492,	-0.0137385
1.02357,	0.0160609,	-0.0345743,	-0.99971,	0.0147168,	-0.00930632,	-0.0166069
1.47653,	-0.0713226,	0.0104162,	-0.999825,	0.0150465,	-0.0108733,	0.00250711
1.98251,	-0.0722406,	0.013652,	-0.999858,	0.0160171,	-0.00334218,	-0.00414817
2.46873,	-0.0673193,	0.023165,	-0.999919,	0.00877002,	-0.00757453,	0.00532522
2.9779,	-0.068581,	0.0247218,	-0.999923,	0.0119258,	0.00349326,	0.000715166
3.47173,	-0.0736247,	0.0438032,	-0.999757,	0.0145786,	0.0137376,	0.00920698
3.47761,	0.429116,	0.0289268,	0.999867,	-0.00928367,	-0.0133859,	0.000253096
3.99485,	-0.0698372,	0.0453542,	-0.999728,	0.00998461,	0.0206497,	-0.00427776
4.53286,	-0.0714297,	0.0411542,	-0.999712,	0.00891702,	0.014578,	-0.0168237
4.52313,	0.435784,	0.0250017,	-0.999322,	-0.00219541,	0.0199328,	-0.0308637
4.506,	0.949065,	0.0311258,	0.999748,	-0.0094698,	-0.0156072,	0.0130583
4.50374,	1.42055,	0.042225,	0.999781,	-0.0195503,	-0.00638783,	-0.00380337
3.99963,	1.42486,	0.0169444,	0.999519,	-0.0155973,	-0.0221311,	-0.0151323
4.51399,	1.89978,	0.0421063,	0.999516,	-0.0171005,	-0.0143292,	-0.0216999
4.00537,	1.91638,	0.0145698,	0.999593,	-0.0152522,	-0.0182733,	-0.01572
4.52642,	2.37924,	0.05737,	0.999865,	-0.00351827,	-0.0144568,	-0.00699302
4.01936,	2.39697,	0.0284434,	0.999909,	-0.00785117,	-0.0109635,	0.000302033
4.5429,	2.85992,	0.0757142,	0.999866,	0.0042787,	-0.0157681,	-0.00119093
4.03752,	2.86982,	0.0561698,	0.999863,	-0.00149322,	-0.0153746,	0.00595645
4.55236,	3.3559,	0.0920993,	0.999912,	0.0101752,	-0.00790822,	-0.00299584
4.05051,	3.35525,	0.0763375,	0.999892,	0.00372807,	-0.0142,	0.000921028
4.56225,	3.86993,	0.0919512,	0.999887,	0.00890041,	-0.0116141,	0.00353186
4.06698,	3.86077,	0.0892368,	0.999899,	-0.000196589,	-0.0139869,	0.00268884
4.56732,	4.39413,	0.0854168,	0.999762,	0.0202267,	-0.00402789,	0.00717352
4.06603,	4.38449,	0.0718848,	0.999572,	0.0161138,	-0.0137993,	0.0201319
3.54106,	3.92526,	-0.0204412,	0.999337,	0.0324382,	-0.0154656,	-0.00576179
3.53759,	4.4322,	0.00337014,	0.99962,	0.0269535,	-0.00558777,	0.0013381
3.0486,	4.42776,	0.0087121,	0.999719,	0.0235887,	-0.000249269,	0.00235092
2.57122,	4.43458,	0.0213135,	0.999626,	0.0224923,	-0.0139119,	0.00691368
2.07872,	4.44,	0.0282947,	0.999567,	0.0234447,	-0.0148212,	0.00980126
2.06567,	3.92221,	-0.00752537,	0.999808,	0.0161058,	-0.00538863,	-0.0097918
1.5925,	4.45187,	0.0431341,	0.999814,	0.0172661,	-0.00697655,	-0.00498439
1.58012,	3.9434,	0.0153167,	0.999651,	0.0216491,	-0.0102915,	-0.0110956
1.1324,	4.46199,	0.0820988,	0.999545,	0.019245,	-0.00202775,	-0.0231219
1.12467,	3.95721,	0.0536151,	0.999771,	0.0211445,	-0.000139473,	0.00324153
